Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,840.0mV,120.0mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.500000mV,2.500000mV
Time interval        :,200.00000uS,200.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,200.000000,2920.000000
2,200.000000,2920.000000
3,200.000000,2920.000000
4,200.000000,2920.000000
5,200.000000,2920.000000
6,200.000000,2960.000000
7,200.000000,2920.000000
8,200.000000,2960.000000
9,200.000000,2960.000000
10,200.000000,2920.000000
11,200.000000,2960.000000
12,200.000000,2960.000000
13,200.000000,2920.000000
14,200.000000,2960.000000
15,200.000000,2960.000000
16,192.000000,2920.000000
17,200.000000,2920.000000
18,200.000000,2920.000000
19,200.000000,2920.000000
20,208.000000,2960.000000
21,208.000000,2920.000000
22,200.000000,2960.000000
23,208.000000,2960.000000
24,200.000000,2920.000000
25,200.000000,2920.000000
26,200.000000,2960.000000
27,200.000000,2960.000000
28,200.000000,2920.000000
29,200.000000,2960.000000
30,192.000000,2960.000000
31,192.000000,2920.000000
32,200.000000,2920.000000
33,192.000000,2920.000000
34,200.000000,2960.000000
35,200.000000,2960.000000
36,200.000000,2960.000000
37,200.000000,2960.000000
38,200.000000,2960.000000
39,200.000000,2960.000000
40,200.000000,2920.000000
41,200.000000,2920.000000
42,200.000000,2920.000000
43,200.000000,2960.000000
44,200.000000,2920.000000
45,200.000000,2920.000000
46,200.000000,2960.000000
47,200.000000,2920.000000
48,200.000000,2920.000000
49,192.000000,2960.000000
50,200.000000,2960.000000
51,200.000000,2960.000000
52,200.000000,2920.000000
53,200.000000,2920.000000
54,200.000000,2960.000000
55,200.000000,2960.000000
56,200.000000,2960.000000
57,200.000000,2960.000000
58,200.000000,2960.000000
59,200.000000,2920.000000
60,200.000000,2920.000000
61,200.000000,2960.000000
62,200.000000,2960.000000
63,200.000000,2920.000000
64,200.000000,2920.000000
65,200.000000,2920.000000
66,200.000000,2920.000000
67,200.000000,2920.000000
68,200.000000,2920.000000
69,200.000000,2960.000000
70,200.000000,2960.000000
71,200.000000,2960.000000
72,200.000000,2920.000000
73,200.000000,2960.000000
74,200.000000,2920.000000
75,216.000000,2960.000000
76,200.000000,2960.000000
77,200.000000,2960.000000
78,200.000000,2920.000000
79,200.000000,2920.000000
80,192.000000,2920.000000
81,200.000000,2960.000000
82,200.000000,2960.000000
83,200.000000,2920.000000
84,200.000000,2960.000000
85,192.000000,2960.000000
86,200.000000,2920.000000
87,200.000000,2920.000000
88,200.000000,2960.000000
89,200.000000,2920.000000
90,200.000000,2960.000000
91,200.000000,2960.000000
92,200.000000,2920.000000
93,200.000000,2960.000000
94,200.000000,2960.000000
95,200.000000,2960.000000
96,200.000000,2920.000000
97,200.000000,2920.000000
98,208.000000,2960.000000
99,200.000000,2960.000000
100,200.000000,2960.000000
101,200.000000,2920.000000
102,200.000000,2920.000000
103,200.000000,2920.000000
104,192.000000,2920.000000
105,200.000000,2920.000000
106,192.000000,2920.000000
107,192.000000,2920.000000
108,192.000000,2960.000000
109,192.000000,2920.000000
110,192.000000,2920.000000
111,192.000000,2920.000000
112,192.000000,2920.000000
113,184.000000,2920.000000
114,192.000000,2960.000000
115,184.000000,2920.000000
116,184.000000,2960.000000
117,184.000000,2920.000000
118,184.000000,2920.000000
119,184.000000,2960.000000
120,192.000000,2960.000000
121,176.000000,2920.000000
122,160.000000,2920.000000
123,184.000000,2960.000000
124,184.000000,2960.000000
125,168.000000,2920.000000
126,176.000000,2960.000000
127,184.000000,2960.000000
128,176.000000,2920.000000
129,184.000000,2920.000000
130,184.000000,2920.000000
131,184.000000,2920.000000
132,184.000000,2920.000000
133,192.000000,2920.000000
134,184.000000,2960.000000
135,192.000000,2920.000000
136,184.000000,2920.000000
137,192.000000,2960.000000
138,192.000000,2960.000000
139,192.000000,2920.000000
140,192.000000,2920.000000
141,192.000000,2920.000000
142,192.000000,2960.000000
143,192.000000,2920.000000
144,192.000000,2920.000000
145,192.000000,2960.000000
146,192.000000,2920.000000
147,192.000000,2960.000000
148,200.000000,2920.000000
149,192.000000,2960.000000
150,192.000000,2920.000000
151,200.000000,2960.000000
152,192.000000,2920.000000
153,200.000000,2960.000000
154,200.000000,2960.000000
155,200.000000,2960.000000
156,192.000000,2920.000000
157,192.000000,2960.000000
158,192.000000,2960.000000
159,200.000000,2920.000000
160,192.000000,2920.000000
161,192.000000,2960.000000
162,192.000000,3000.000000
163,200.000000,2960.000000
164,192.000000,2960.000000
165,200.000000,2920.000000
166,192.000000,2920.000000
167,192.000000,2960.000000
168,200.000000,2920.000000
169,200.000000,2960.000000
170,192.000000,2960.000000
171,192.000000,2960.000000
172,200.000000,2960.000000
173,192.000000,2960.000000
174,200.000000,2920.000000
175,200.000000,2920.000000
176,200.000000,2920.000000
177,184.000000,2960.000000
178,200.000000,2960.000000
179,192.000000,2960.000000
180,200.000000,2920.000000
181,192.000000,2920.000000
182,192.000000,2960.000000
183,192.000000,2960.000000
184,200.000000,2920.000000
185,192.000000,2960.000000
186,192.000000,2960.000000
187,248.000000,2960.000000
188,192.000000,2960.000000
189,192.000000,2960.000000
190,192.000000,2960.000000
191,192.000000,2920.000000
192,192.000000,2920.000000
193,200.000000,2920.000000
194,192.000000,2960.000000
195,192.000000,2920.000000
196,192.000000,2920.000000
197,192.000000,2920.000000
198,192.000000,2960.000000
199,200.000000,2920.000000
200,200.000000,2960.000000
201,192.000000,2960.000000
202,200.000000,2960.000000
203,192.000000,2960.000000
204,200.000000,2960.000000
205,200.000000,2920.000000
206,200.000000,2960.000000
207,200.000000,2960.000000
208,192.000000,2920.000000
209,200.000000,2960.000000
210,200.000000,2960.000000
211,200.000000,2960.000000
212,200.000000,2960.000000
213,200.000000,2920.000000
214,192.000000,2960.000000
215,200.000000,2960.000000
216,200.000000,2920.000000
217,200.000000,2920.000000
218,200.000000,2960.000000
219,192.000000,2960.000000
220,200.000000,2960.000000
221,200.000000,2960.000000
222,200.000000,2960.000000
223,200.000000,2920.000000
224,200.000000,2960.000000
225,200.000000,2920.000000
226,200.000000,2960.000000
227,200.000000,2920.000000
228,192.000000,2960.000000
229,200.000000,2920.000000
230,200.000000,2960.000000
231,200.000000,2960.000000
232,200.000000,2960.000000
233,192.000000,2960.000000
234,200.000000,2920.000000
235,200.000000,2960.000000
236,200.000000,2960.000000
237,200.000000,2920.000000
238,200.000000,2960.000000
239,200.000000,2960.000000
240,200.000000,2960.000000
241,200.000000,2920.000000
242,200.000000,2960.000000
243,200.000000,2960.000000
244,200.000000,2960.000000
245,200.000000,2920.000000
246,192.000000,2960.000000
247,200.000000,2960.000000
248,192.000000,2920.000000
249,200.000000,2920.000000
250,200.000000,2920.000000
251,200.000000,2960.000000
252,200.000000,2920.000000
253,200.000000,2920.000000
254,200.000000,2920.000000
255,200.000000,2960.000000
256,192.000000,2960.000000
257,192.000000,2960.000000
258,192.000000,2920.000000
259,184.000000,2960.000000
260,184.000000,2960.000000
261,192.000000,2920.000000
262,184.000000,2920.000000
263,184.000000,2960.000000
264,184.000000,2960.000000
265,176.000000,2960.000000
266,184.000000,2920.000000
267,184.000000,2960.000000
268,184.000000,2960.000000
269,184.000000,2960.000000
270,176.000000,2960.000000
271,184.000000,2960.000000
272,176.000000,2960.000000
273,176.000000,2920.000000
274,184.000000,2920.000000
275,184.000000,2920.000000
276,176.000000,2920.000000
277,176.000000,2960.000000
278,176.000000,2960.000000
279,176.000000,2920.000000
280,176.000000,2920.000000
281,176.000000,2960.000000
282,176.000000,2920.000000
283,184.000000,2920.000000
284,184.000000,2920.000000
285,184.000000,2920.000000
286,184.000000,2920.000000
287,184.000000,2920.000000
288,184.000000,2920.000000
289,192.000000,2920.000000
290,192.000000,2920.000000
291,192.000000,2960.000000
292,184.000000,2960.000000
293,192.000000,2920.000000
294,184.000000,2920.000000
295,192.000000,2960.000000
296,192.000000,2960.000000
297,184.000000,2960.000000
298,192.000000,2920.000000
299,192.000000,2920.000000
300,192.000000,2960.000000
301,192.000000,2960.000000
302,200.000000,2920.000000
303,192.000000,2960.000000
304,192.000000,2920.000000
305,200.000000,2960.000000
306,192.000000,2960.000000
307,192.000000,2920.000000
308,200.000000,2960.000000
309,192.000000,2960.000000
310,192.000000,2960.000000
311,192.000000,2960.000000
312,200.000000,2960.000000
313,192.000000,2960.000000
314,200.000000,2960.000000
315,200.000000,2960.000000
316,200.000000,2920.000000
317,200.000000,2960.000000
318,200.000000,2920.000000
319,200.000000,2920.000000
320,192.000000,2920.000000
321,200.000000,2920.000000
322,200.000000,2960.000000
323,176.000000,2960.000000
324,176.000000,2960.000000
325,200.000000,2960.000000
326,200.000000,2960.000000
327,200.000000,2920.000000
328,192.000000,2960.000000
329,200.000000,2960.000000
330,200.000000,2920.000000
331,192.000000,2920.000000
332,200.000000,2920.000000
333,200.000000,2960.000000
334,200.000000,2960.000000
335,192.000000,2960.000000
336,192.000000,2960.000000
337,192.000000,2920.000000
338,192.000000,2920.000000
339,192.000000,2920.000000
340,200.000000,2960.000000
341,192.000000,2920.000000
342,200.000000,2960.000000
343,200.000000,2960.000000
344,200.000000,2960.000000
345,200.000000,2960.000000
346,200.000000,2960.000000
347,200.000000,2960.000000
348,192.000000,2960.000000
