Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,832.0mV,80.00mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.500000mV,2.500000mV
Time interval        :,200.00000uS,200.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-560.000000,3040.000000
2,-560.000000,3040.000000
3,-568.000000,3080.000000
4,-568.000000,3040.000000
5,-560.000000,3080.000000
6,-568.000000,3040.000000
7,-568.000000,3040.000000
8,-568.000000,3040.000000
9,-568.000000,3040.000000
10,-568.000000,3080.000000
11,-568.000000,3040.000000
12,-568.000000,3080.000000
13,-568.000000,3040.000000
14,-568.000000,3040.000000
15,-568.000000,3080.000000
16,-568.000000,3080.000000
17,-568.000000,3040.000000
18,-568.000000,3080.000000
19,-568.000000,3040.000000
20,-568.000000,3040.000000
21,-568.000000,3080.000000
22,-568.000000,3080.000000
23,-568.000000,3080.000000
24,-568.000000,3080.000000
25,-568.000000,3040.000000
26,-560.000000,3040.000000
27,-568.000000,3040.000000
28,-568.000000,3040.000000
29,-568.000000,3080.000000
30,-568.000000,3080.000000
31,-568.000000,3040.000000
32,-560.000000,3080.000000
33,-568.000000,3080.000000
34,-568.000000,3040.000000
35,-568.000000,3040.000000
36,-568.000000,3040.000000
37,-568.000000,3040.000000
38,-568.000000,3040.000000
39,-560.000000,3040.000000
40,-568.000000,3080.000000
41,-568.000000,3000.000000
42,-568.000000,3040.000000
43,-568.000000,3040.000000
44,-568.000000,3040.000000
45,-568.000000,3080.000000
46,-568.000000,3080.000000
47,-568.000000,3040.000000
48,-568.000000,3040.000000
49,-568.000000,3040.000000
50,-568.000000,3040.000000
51,-568.000000,3040.000000
52,-568.000000,3040.000000
53,-568.000000,3040.000000
54,-568.000000,3040.000000
55,-568.000000,3080.000000
56,-568.000000,3080.000000
57,-568.000000,3040.000000
58,-568.000000,3040.000000
59,-568.000000,3080.000000
60,-568.000000,3040.000000
61,-568.000000,3040.000000
62,-560.000000,3040.000000
63,-560.000000,3080.000000
64,-560.000000,3040.000000
65,-560.000000,3040.000000
66,-568.000000,3040.000000
67,-560.000000,3040.000000
68,-568.000000,3040.000000
69,-560.000000,3040.000000
70,-560.000000,3040.000000
71,-560.000000,3040.000000
72,-560.000000,3040.000000
73,-560.000000,3040.000000
74,-560.000000,3040.000000
75,-560.000000,3040.000000
76,-560.000000,3040.000000
77,-568.000000,3040.000000
78,-560.000000,3040.000000
79,-568.000000,3080.000000
80,-560.000000,3040.000000
81,-560.000000,3080.000000
82,-568.000000,3040.000000
83,-560.000000,3040.000000
84,-568.000000,3040.000000
85,-568.000000,3040.000000
86,-560.000000,3040.000000
87,-568.000000,3080.000000
88,-568.000000,3040.000000
89,-568.000000,3040.000000
90,-568.000000,3080.000000
91,-568.000000,3080.000000
92,-568.000000,3040.000000
93,-568.000000,3040.000000
94,-568.000000,3040.000000
95,-568.000000,3080.000000
96,-568.000000,3040.000000
97,-568.000000,3080.000000
98,-568.000000,3040.000000
99,-560.000000,3080.000000
100,-568.000000,3040.000000
101,-568.000000,3040.000000
102,-568.000000,3040.000000
103,-560.000000,3040.000000
104,-568.000000,3040.000000
105,-560.000000,3040.000000
106,-560.000000,3040.000000
107,-568.000000,3040.000000
108,-568.000000,3040.000000
109,-568.000000,3080.000000
110,-568.000000,3040.000000
111,-568.000000,3040.000000
112,-568.000000,3040.000000
113,-568.000000,3040.000000
114,-560.000000,3040.000000
115,-568.000000,3040.000000
116,-568.000000,3040.000000
117,-560.000000,3040.000000
118,-568.000000,3080.000000
119,-568.000000,3040.000000
120,-544.000000,3040.000000
121,-560.000000,3040.000000
122,-568.000000,3040.000000
123,-536.000000,3080.000000
124,-560.000000,3040.000000
125,-560.000000,3040.000000
126,-568.000000,3040.000000
127,-560.000000,3040.000000
128,-568.000000,3080.000000
129,-568.000000,3040.000000
130,-576.000000,3080.000000
131,-568.000000,3080.000000
132,-576.000000,3040.000000
133,-568.000000,3040.000000
134,-568.000000,3040.000000
135,-568.000000,3040.000000
136,-568.000000,3080.000000
137,-568.000000,3040.000000
138,-568.000000,3080.000000
139,-568.000000,3040.000000
140,-560.000000,3080.000000
141,-560.000000,3080.000000
142,-560.000000,3040.000000
143,-560.000000,3040.000000
144,-560.000000,3040.000000
145,-560.000000,3040.000000
146,-560.000000,3040.000000
147,-560.000000,3080.000000
148,-560.000000,3080.000000
149,-560.000000,3080.000000
150,-552.000000,3040.000000
151,-560.000000,3080.000000
152,-568.000000,3040.000000
153,-568.000000,3040.000000
154,-560.000000,3040.000000
155,-568.000000,3080.000000
156,-568.000000,3040.000000
157,-560.000000,3040.000000
158,-568.000000,3080.000000
159,-568.000000,3040.000000
160,-568.000000,3080.000000
161,-568.000000,3040.000000
162,-560.000000,3040.000000
163,-568.000000,3080.000000
164,-568.000000,3040.000000
165,-568.000000,3080.000000
166,-568.000000,3040.000000
167,-568.000000,3040.000000
168,-568.000000,3040.000000
169,-568.000000,3040.000000
170,-568.000000,3080.000000
171,-568.000000,3040.000000
172,-568.000000,3040.000000
173,-568.000000,3040.000000
174,-560.000000,3040.000000
175,-568.000000,3040.000000
176,-560.000000,3080.000000
177,-560.000000,3040.000000
178,-568.000000,3040.000000
179,-568.000000,3080.000000
180,-560.000000,3040.000000
181,-560.000000,3040.000000
182,-568.000000,3040.000000
183,-568.000000,3040.000000
184,-568.000000,3080.000000
185,-568.000000,3040.000000
186,-560.000000,3040.000000
187,-560.000000,3040.000000
188,-560.000000,3040.000000
189,-568.000000,3040.000000
190,-568.000000,3080.000000
191,-568.000000,3040.000000
192,-568.000000,3080.000000
193,-560.000000,3040.000000
194,-568.000000,3040.000000
195,-568.000000,3040.000000
196,-568.000000,3040.000000
197,-568.000000,3040.000000
198,-560.000000,3040.000000
199,-568.000000,3040.000000
200,-568.000000,3080.000000
201,-568.000000,3040.000000
202,-560.000000,3040.000000
203,-568.000000,3040.000000
204,-560.000000,3040.000000
205,-568.000000,3080.000000
206,-568.000000,3040.000000
207,-568.000000,3040.000000
208,-568.000000,3040.000000
209,-568.000000,3040.000000
210,-560.000000,3040.000000
211,-568.000000,3040.000000
212,-560.000000,3040.000000
213,-568.000000,3080.000000
214,-560.000000,3040.000000
215,-560.000000,3040.000000
216,-568.000000,3040.000000
217,-560.000000,3040.000000
218,-560.000000,3080.000000
219,-568.000000,3040.000000
220,-560.000000,3040.000000
221,-560.000000,3040.000000
222,-560.000000,3040.000000
223,-560.000000,3040.000000
224,-560.000000,3080.000000
225,-560.000000,3040.000000
226,-560.000000,3040.000000
227,-560.000000,3040.000000
228,-560.000000,3040.000000
229,-568.000000,3040.000000
230,-568.000000,3080.000000
231,-568.000000,3040.000000
232,-560.000000,3040.000000
233,-560.000000,3040.000000
234,-568.000000,3040.000000
235,-568.000000,3080.000000
236,-568.000000,3040.000000
237,-568.000000,3040.000000
238,-568.000000,3080.000000
239,-568.000000,3040.000000
240,-568.000000,3040.000000
241,-560.000000,3040.000000
242,-568.000000,3080.000000
243,-568.000000,3040.000000
244,-568.000000,3040.000000
245,-560.000000,3080.000000
246,-568.000000,3080.000000
247,-568.000000,3040.000000
248,-568.000000,3040.000000
249,-568.000000,3040.000000
250,-568.000000,3040.000000
251,-568.000000,3040.000000
252,-568.000000,3040.000000
253,-568.000000,3040.000000
254,-568.000000,3040.000000
255,-560.000000,3080.000000
256,-568.000000,3040.000000
257,-568.000000,3040.000000
258,-560.000000,3040.000000
259,-568.000000,3040.000000
260,-560.000000,3040.000000
261,-568.000000,3080.000000
262,-560.000000,3080.000000
263,-568.000000,3080.000000
264,-568.000000,3040.000000
265,-568.000000,3040.000000
266,-568.000000,3080.000000
267,-560.000000,3040.000000
268,-560.000000,3040.000000
269,-568.000000,3080.000000
270,-568.000000,3040.000000
271,-568.000000,3040.000000
272,-568.000000,3040.000000
273,-568.000000,3040.000000
274,-568.000000,3040.000000
275,-568.000000,3040.000000
276,-568.000000,3040.000000
277,-568.000000,3040.000000
278,-568.000000,3080.000000
279,-568.000000,3040.000000
280,-568.000000,3040.000000
281,-576.000000,3040.000000
282,-568.000000,3080.000000
283,-568.000000,3080.000000
284,-568.000000,3040.000000
285,-568.000000,3040.000000
286,-560.000000,3080.000000
287,-560.000000,3080.000000
288,-560.000000,3040.000000
289,-568.000000,3040.000000
290,-560.000000,3040.000000
291,-560.000000,3080.000000
292,-568.000000,3040.000000
293,-560.000000,3080.000000
294,-560.000000,3040.000000
295,-560.000000,3040.000000
296,-560.000000,3040.000000
297,-560.000000,3040.000000
298,-560.000000,3040.000000
299,-560.000000,3040.000000
300,-560.000000,3040.000000
301,-560.000000,3040.000000
302,-560.000000,3080.000000
303,-568.000000,3040.000000
304,-560.000000,3040.000000
305,-560.000000,3080.000000
306,-560.000000,3040.000000
307,-568.000000,3080.000000
308,-560.000000,3040.000000
309,-568.000000,3040.000000
310,-568.000000,3040.000000
311,-568.000000,3080.000000
312,-568.000000,3040.000000
313,-568.000000,3040.000000
314,-568.000000,3080.000000
315,-528.000000,3080.000000
316,-560.000000,3040.000000
317,-560.000000,3040.000000
318,-568.000000,3080.000000
319,-560.000000,3040.000000
320,-568.000000,3040.000000
321,-568.000000,3040.000000
322,-560.000000,3080.000000
323,-568.000000,3040.000000
