Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,704.0mV?,1.000V
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.250000mV,2.500000mV
Time interval        :,200.00000uS,200.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,144.000000,1840.000000
2,144.000000,1840.000000
3,140.000000,1840.000000
4,140.000000,1840.000000
5,144.000000,1840.000000
6,144.000000,1800.000000
7,144.000000,1840.000000
8,148.000000,1840.000000
9,144.000000,1840.000000
10,144.000000,1840.000000
11,144.000000,1840.000000
12,144.000000,1840.000000
13,148.000000,1840.000000
14,148.000000,1840.000000
15,144.000000,1840.000000
16,148.000000,1840.000000
17,148.000000,1800.000000
18,148.000000,1840.000000
19,148.000000,1840.000000
20,148.000000,1840.000000
21,148.000000,1840.000000
22,144.000000,1800.000000
23,148.000000,1800.000000
24,148.000000,1800.000000
25,144.000000,1840.000000
26,144.000000,1800.000000
27,148.000000,1840.000000
28,136.000000,1840.000000
29,140.000000,1840.000000
30,140.000000,1800.000000
31,144.000000,1800.000000
32,144.000000,1800.000000
33,144.000000,1840.000000
34,140.000000,1840.000000
35,144.000000,1800.000000
36,140.000000,1840.000000
37,148.000000,1840.000000
38,144.000000,1800.000000
39,144.000000,1840.000000
40,144.000000,1800.000000
41,144.000000,1800.000000
42,144.000000,1840.000000
43,144.000000,1800.000000
44,140.000000,1840.000000
45,144.000000,1840.000000
46,144.000000,1840.000000
47,144.000000,1840.000000
48,144.000000,1800.000000
49,144.000000,1840.000000
50,144.000000,1840.000000
51,148.000000,1800.000000
52,144.000000,1840.000000
53,144.000000,1840.000000
54,144.000000,1840.000000
55,144.000000,1840.000000
56,148.000000,1840.000000
57,148.000000,1840.000000
58,144.000000,1800.000000
59,148.000000,1840.000000
60,144.000000,1840.000000
61,144.000000,1800.000000
62,144.000000,1840.000000
63,148.000000,1840.000000
64,144.000000,1840.000000
65,148.000000,1840.000000
66,144.000000,1840.000000
67,152.000000,1840.000000
68,148.000000,1840.000000
69,156.000000,1840.000000
70,152.000000,1840.000000
71,152.000000,1840.000000
72,152.000000,1840.000000
73,152.000000,1840.000000
74,152.000000,1840.000000
75,148.000000,1840.000000
76,152.000000,1840.000000
77,152.000000,1840.000000
78,156.000000,1840.000000
79,156.000000,1840.000000
80,168.000000,1840.000000
81,156.000000,1840.000000
82,160.000000,1840.000000
83,160.000000,1840.000000
84,136.000000,1840.000000
85,160.000000,1880.000000
86,156.000000,1840.000000
87,156.000000,1840.000000
88,156.000000,1840.000000
89,156.000000,1840.000000
90,160.000000,1840.000000
91,160.000000,1840.000000
92,160.000000,1840.000000
93,156.000000,1840.000000
94,156.000000,1840.000000
95,156.000000,1840.000000
96,160.000000,1840.000000
97,160.000000,1840.000000
98,160.000000,1840.000000
99,156.000000,1840.000000
100,160.000000,1840.000000
101,156.000000,1840.000000
102,156.000000,1840.000000
103,160.000000,1840.000000
104,156.000000,1840.000000
105,156.000000,1840.000000
106,156.000000,1840.000000
107,160.000000,1840.000000
108,164.000000,1840.000000
109,156.000000,1840.000000
110,160.000000,1840.000000
111,160.000000,1840.000000
112,160.000000,1840.000000
113,164.000000,1840.000000
114,160.000000,1840.000000
115,164.000000,1840.000000
116,160.000000,1840.000000
117,160.000000,1840.000000
118,160.000000,1880.000000
119,156.000000,1840.000000
120,160.000000,1840.000000
121,164.000000,1840.000000
122,160.000000,1840.000000
123,160.000000,1840.000000
124,156.000000,1840.000000
125,160.000000,1840.000000
126,160.000000,1840.000000
127,160.000000,1840.000000
128,160.000000,1840.000000
129,156.000000,1840.000000
130,160.000000,1840.000000
131,160.000000,1840.000000
132,160.000000,1840.000000
133,164.000000,1840.000000
134,160.000000,1840.000000
135,160.000000,1840.000000
136,164.000000,1840.000000
137,148.000000,1840.000000
138,164.000000,1840.000000
139,160.000000,1840.000000
140,156.000000,1840.000000
141,176.000000,1840.000000
142,160.000000,1840.000000
143,164.000000,1840.000000
144,164.000000,1840.000000
145,160.000000,1840.000000
146,164.000000,1840.000000
147,164.000000,1840.000000
148,164.000000,1840.000000
149,160.000000,1840.000000
150,160.000000,1840.000000
151,164.000000,1840.000000
152,164.000000,1840.000000
153,156.000000,1840.000000
154,160.000000,1840.000000
155,164.000000,1840.000000
156,160.000000,1840.000000
157,160.000000,1840.000000
158,160.000000,1840.000000
159,160.000000,1840.000000
160,164.000000,1840.000000
161,160.000000,1840.000000
162,156.000000,1840.000000
163,160.000000,1840.000000
164,160.000000,1800.000000
165,160.000000,1840.000000
166,160.000000,1840.000000
167,160.000000,1840.000000
168,160.000000,1840.000000
169,156.000000,1840.000000
170,160.000000,1840.000000
171,164.000000,1840.000000
172,156.000000,1840.000000
173,160.000000,1840.000000
174,160.000000,1840.000000
175,160.000000,1840.000000
176,160.000000,1840.000000
177,160.000000,1840.000000
178,160.000000,1840.000000
179,160.000000,1840.000000
180,148.000000,1840.000000
181,160.000000,1840.000000
182,156.000000,1840.000000
183,160.000000,1840.000000
184,156.000000,1840.000000
185,160.000000,1840.000000
186,156.000000,1840.000000
187,156.000000,1840.000000
188,160.000000,1840.000000
189,156.000000,1840.000000
190,156.000000,1840.000000
191,160.000000,1840.000000
192,156.000000,1840.000000
193,160.000000,1840.000000
194,156.000000,1840.000000
195,156.000000,1840.000000
196,160.000000,1800.000000
197,160.000000,1840.000000
198,160.000000,1840.000000
199,164.000000,1840.000000
200,160.000000,1840.000000
201,160.000000,1840.000000
202,160.000000,1840.000000
203,160.000000,1840.000000
204,156.000000,1840.000000
205,160.000000,1840.000000
206,160.000000,1840.000000
207,160.000000,1840.000000
208,156.000000,1840.000000
209,160.000000,1840.000000
210,160.000000,1840.000000
211,160.000000,1840.000000
212,160.000000,1840.000000
213,160.000000,1840.000000
214,160.000000,1800.000000
215,160.000000,1840.000000
216,164.000000,1840.000000
217,160.000000,1800.000000
218,160.000000,1800.000000
219,156.000000,1840.000000
220,156.000000,1840.000000
221,156.000000,1840.000000
222,160.000000,1840.000000
223,156.000000,1840.000000
224,164.000000,1840.000000
225,160.000000,1800.000000
226,160.000000,1840.000000
227,156.000000,1800.000000
228,160.000000,1840.000000
229,152.000000,1800.000000
230,160.000000,1840.000000
231,152.000000,1840.000000
232,152.000000,1800.000000
233,144.000000,1840.000000
234,156.000000,1840.000000
235,148.000000,1840.000000
236,152.000000,1840.000000
237,140.000000,1840.000000
238,148.000000,1840.000000
239,148.000000,1840.000000
240,148.000000,1800.000000
241,152.000000,1800.000000
242,144.000000,1840.000000
243,148.000000,1840.000000
244,148.000000,1840.000000
245,148.000000,1840.000000
246,148.000000,1800.000000
247,148.000000,1840.000000
248,148.000000,1840.000000
249,144.000000,1840.000000
250,148.000000,1840.000000
251,144.000000,1840.000000
252,144.000000,1840.000000
253,148.000000,1840.000000
254,144.000000,1840.000000
255,144.000000,1840.000000
256,148.000000,1840.000000
257,148.000000,1800.000000
258,144.000000,1840.000000
259,144.000000,1800.000000
260,144.000000,1840.000000
261,148.000000,1800.000000
262,144.000000,1800.000000
263,144.000000,1840.000000
264,144.000000,1800.000000
265,144.000000,1840.000000
266,148.000000,1840.000000
267,144.000000,1840.000000
268,148.000000,1840.000000
269,144.000000,1840.000000
270,148.000000,1840.000000
271,144.000000,1800.000000
272,148.000000,1840.000000
273,144.000000,1840.000000
274,144.000000,1840.000000
275,144.000000,1840.000000
276,136.000000,1840.000000
277,144.000000,1840.000000
278,144.000000,1840.000000
279,144.000000,1800.000000
280,144.000000,1840.000000
281,140.000000,1840.000000
282,136.000000,1840.000000
283,144.000000,1840.000000
284,128.000000,1840.000000
285,144.000000,1800.000000
286,144.000000,1840.000000
287,144.000000,1840.000000
288,140.000000,1840.000000
289,144.000000,1840.000000
290,140.000000,1840.000000
291,144.000000,1840.000000
292,140.000000,1840.000000
293,148.000000,1840.000000
294,144.000000,1840.000000
295,144.000000,1840.000000
296,144.000000,1800.000000
297,148.000000,1840.000000
298,144.000000,1800.000000
299,148.000000,1840.000000
300,144.000000,1800.000000
301,140.000000,1840.000000
302,144.000000,1800.000000
303,144.000000,1800.000000
304,144.000000,1840.000000
305,148.000000,1800.000000
306,144.000000,1800.000000
307,144.000000,1840.000000
308,144.000000,1800.000000
309,144.000000,1840.000000
310,144.000000,1840.000000
311,148.000000,1840.000000
312,144.000000,1840.000000
313,144.000000,1840.000000
314,148.000000,1840.000000
315,144.000000,1840.000000
316,148.000000,1800.000000
317,144.000000,1840.000000
318,144.000000,1840.000000
319,148.000000,1840.000000
320,144.000000,1840.000000
321,144.000000,1840.000000
322,144.000000,1840.000000
323,144.000000,1840.000000
324,148.000000,1840.000000
325,144.000000,1800.000000
326,144.000000,1800.000000
327,144.000000,1800.000000
328,140.000000,1800.000000
329,148.000000,1800.000000
330,144.000000,1840.000000
331,144.000000,1840.000000
332,140.000000,1800.000000
333,144.000000,1800.000000
334,140.000000,1840.000000
335,144.000000,1840.000000
336,144.000000,1840.000000
337,148.000000,1800.000000
338,148.000000,1800.000000
339,140.000000,1840.000000
340,192.000000,1840.000000
341,148.000000,1800.000000
342,144.000000,1840.000000
343,144.000000,1840.000000
344,136.000000,1840.000000
345,144.000000,1840.000000
346,148.000000,1840.000000
347,148.000000,1840.000000
348,144.000000,1840.000000
