Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,520.0mV,40.00mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,200.00000uS,200.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,0.000000,1680.000000
2,0.000000,1680.000000
3,-40.000000,1680.000000
4,-40.000000,1680.000000
5,-40.000000,1720.000000
6,-40.000000,1680.000000
7,-200.000000,1720.000000
8,-120.000000,1680.000000
9,-40.000000,1680.000000
10,-40.000000,1720.000000
11,0.000000,1720.000000
12,-40.000000,1680.000000
13,-40.000000,1680.000000
14,0.000000,1720.000000
15,-40.000000,1680.000000
16,-40.000000,1680.000000
17,-40.000000,1720.000000
18,-40.000000,1720.000000
19,0.000000,1680.000000
20,-40.000000,1680.000000
21,0.000000,1680.000000
22,-40.000000,1680.000000
23,-40.000000,1680.000000
24,-40.000000,1680.000000
25,-40.000000,1680.000000
26,-40.000000,1680.000000
27,-40.000000,1720.000000
28,-40.000000,1680.000000
29,0.000000,1720.000000
30,0.000000,1720.000000
31,0.000000,1680.000000
32,-40.000000,1720.000000
33,-40.000000,1720.000000
34,-40.000000,1720.000000
35,0.000000,1720.000000
36,-40.000000,1720.000000
37,0.000000,1720.000000
38,-40.000000,1720.000000
39,-200.000000,1680.000000
40,-120.000000,1720.000000
41,-40.000000,1680.000000
42,-40.000000,1720.000000
43,-40.000000,1680.000000
44,-40.000000,1720.000000
45,-40.000000,1720.000000
46,0.000000,1680.000000
47,-80.000000,1680.000000
48,-40.000000,1720.000000
49,-40.000000,1680.000000
50,-40.000000,1680.000000
51,-40.000000,1720.000000
52,-80.000000,1720.000000
53,-40.000000,1680.000000
54,-40.000000,1680.000000
55,-40.000000,1680.000000
56,-40.000000,1680.000000
57,-40.000000,1680.000000
58,-40.000000,1720.000000
59,-40.000000,1720.000000
60,-40.000000,1680.000000
61,-40.000000,1680.000000
62,-40.000000,1680.000000
63,-40.000000,1680.000000
64,-40.000000,1680.000000
65,-40.000000,1720.000000
66,-40.000000,1680.000000
67,-40.000000,1720.000000
68,-40.000000,1680.000000
69,0.000000,1680.000000
70,-80.000000,1720.000000
71,-40.000000,1680.000000
72,-240.000000,1720.000000
73,-120.000000,1680.000000
74,-40.000000,1680.000000
75,-40.000000,1680.000000
76,-80.000000,1720.000000
77,-80.000000,1680.000000
78,-40.000000,1720.000000
79,-40.000000,1720.000000
80,-40.000000,1680.000000
81,-40.000000,1680.000000
82,-40.000000,1680.000000
83,-40.000000,1680.000000
84,0.000000,1680.000000
85,-40.000000,1680.000000
86,-40.000000,1680.000000
87,-40.000000,1720.000000
88,-40.000000,1720.000000
89,-40.000000,1680.000000
90,-40.000000,1720.000000
91,-80.000000,1720.000000
92,0.000000,1720.000000
93,-40.000000,1680.000000
94,-40.000000,1680.000000
95,-40.000000,1720.000000
96,-40.000000,1680.000000
97,-40.000000,1680.000000
98,0.000000,1680.000000
99,0.000000,1680.000000
100,-40.000000,1720.000000
101,-40.000000,1680.000000
102,-40.000000,1720.000000
103,-80.000000,1720.000000
104,-200.000000,1680.000000
105,-120.000000,1680.000000
106,0.000000,1720.000000
107,-40.000000,1720.000000
108,-40.000000,1680.000000
109,-40.000000,1720.000000
110,-40.000000,1680.000000
111,-40.000000,1720.000000
112,-40.000000,1680.000000
113,-40.000000,1720.000000
114,0.000000,1680.000000
115,-40.000000,1680.000000
116,-40.000000,1720.000000
117,-40.000000,1680.000000
118,-40.000000,1720.000000
119,0.000000,1720.000000
120,-40.000000,1680.000000
121,-80.000000,1680.000000
122,-40.000000,1680.000000
123,-40.000000,1680.000000
124,-40.000000,1720.000000
125,-40.000000,1680.000000
126,-40.000000,1680.000000
127,-40.000000,1680.000000
128,-40.000000,1680.000000
129,0.000000,1680.000000
130,0.000000,1680.000000
131,-40.000000,1680.000000
132,0.000000,1720.000000
133,-40.000000,1720.000000
134,-40.000000,1720.000000
135,-40.000000,1680.000000
136,-200.000000,1680.000000
137,-120.000000,1720.000000
138,0.000000,1720.000000
139,-40.000000,1680.000000
140,-40.000000,1680.000000
141,0.000000,1680.000000
142,0.000000,1720.000000
143,-40.000000,1680.000000
144,-80.000000,1680.000000
145,-40.000000,1720.000000
146,-40.000000,1680.000000
147,-80.000000,1680.000000
148,-40.000000,1680.000000
149,-80.000000,1680.000000
150,-80.000000,1720.000000
151,-40.000000,1680.000000
152,-80.000000,1680.000000
153,-80.000000,1680.000000
154,-80.000000,1720.000000
155,-40.000000,1720.000000
156,-80.000000,1680.000000
157,-40.000000,1680.000000
158,-80.000000,1720.000000
159,-80.000000,1680.000000
160,-40.000000,1720.000000
161,-80.000000,1680.000000
162,-80.000000,1680.000000
163,-80.000000,1680.000000
164,-80.000000,1680.000000
165,-40.000000,1680.000000
166,-80.000000,1680.000000
167,-40.000000,1720.000000
168,-40.000000,1720.000000
169,-80.000000,1680.000000
170,-160.000000,1720.000000
171,-160.000000,1680.000000
172,-40.000000,1680.000000
173,-40.000000,1720.000000
174,-40.000000,1680.000000
175,-80.000000,1680.000000
176,-40.000000,1720.000000
177,-80.000000,1680.000000
178,-80.000000,1720.000000
179,-40.000000,1680.000000
180,-80.000000,1680.000000
181,-80.000000,1680.000000
182,-80.000000,1680.000000
183,-40.000000,1720.000000
184,-40.000000,1680.000000
185,-40.000000,1720.000000
186,-40.000000,1680.000000
187,-40.000000,1680.000000
188,-80.000000,1680.000000
189,-40.000000,1680.000000
190,-40.000000,1720.000000
191,-80.000000,1680.000000
192,-40.000000,1720.000000
193,-80.000000,1680.000000
194,-80.000000,1720.000000
195,-40.000000,1680.000000
196,-80.000000,1720.000000
197,-80.000000,1720.000000
198,-80.000000,1680.000000
199,-40.000000,1680.000000
200,-40.000000,1680.000000
201,-40.000000,1720.000000
202,-40.000000,1680.000000
203,-80.000000,1720.000000
204,-40.000000,1720.000000
205,-40.000000,1680.000000
206,-40.000000,1680.000000
207,-40.000000,1680.000000
208,-40.000000,1680.000000
209,-40.000000,1720.000000
210,-40.000000,1720.000000
211,-80.000000,1680.000000
212,-40.000000,1720.000000
213,-40.000000,1720.000000
214,-40.000000,1720.000000
215,-40.000000,1680.000000
216,-80.000000,1720.000000
217,-40.000000,1720.000000
218,-80.000000,1720.000000
219,-80.000000,1720.000000
220,-80.000000,1680.000000
221,-40.000000,1720.000000
222,-40.000000,1680.000000
223,-40.000000,1680.000000
224,-40.000000,1720.000000
225,-40.000000,1680.000000
226,-40.000000,1680.000000
227,-40.000000,1720.000000
228,-80.000000,1720.000000
229,-40.000000,1720.000000
230,-40.000000,1680.000000
231,-40.000000,1720.000000
232,-40.000000,1720.000000
233,-40.000000,1720.000000
234,-40.000000,1720.000000
235,-80.000000,1680.000000
236,-80.000000,1680.000000
237,-40.000000,1680.000000
238,-40.000000,1680.000000
239,-40.000000,1680.000000
240,-40.000000,1720.000000
241,-40.000000,1720.000000
242,-40.000000,1680.000000
243,-40.000000,1720.000000
244,-40.000000,1720.000000
245,-40.000000,1720.000000
246,-40.000000,1720.000000
247,-40.000000,1720.000000
248,-80.000000,1720.000000
249,-40.000000,1680.000000
250,-40.000000,1720.000000
251,-40.000000,1680.000000
252,-40.000000,1680.000000
253,-40.000000,1680.000000
254,-40.000000,1720.000000
255,-40.000000,1680.000000
256,-40.000000,1720.000000
257,-40.000000,1680.000000
258,-40.000000,1680.000000
259,-40.000000,1680.000000
260,-40.000000,1720.000000
261,-40.000000,1720.000000
262,-40.000000,1720.000000
263,-40.000000,1720.000000
264,-40.000000,1680.000000
265,-40.000000,1720.000000
266,-40.000000,1720.000000
267,-200.000000,1680.000000
268,-120.000000,1680.000000
269,-40.000000,1680.000000
270,-40.000000,1720.000000
271,-40.000000,1680.000000
272,-40.000000,1720.000000
273,-80.000000,1720.000000
274,-40.000000,1720.000000
275,-40.000000,1680.000000
276,0.000000,1720.000000
277,-40.000000,1680.000000
278,-40.000000,1680.000000
279,-40.000000,1720.000000
280,-40.000000,1680.000000
281,-40.000000,1680.000000
282,-40.000000,1680.000000
283,-40.000000,1680.000000
284,-40.000000,1720.000000
285,-40.000000,1720.000000
286,-40.000000,1720.000000
287,-40.000000,1680.000000
288,-40.000000,1720.000000
289,-40.000000,1680.000000
290,-40.000000,1720.000000
291,-40.000000,1720.000000
292,-40.000000,1680.000000
293,-40.000000,1680.000000
294,-40.000000,1720.000000
295,-40.000000,1720.000000
296,0.000000,1720.000000
297,-40.000000,1680.000000
298,-40.000000,1720.000000
299,-160.000000,1680.000000
300,-120.000000,1680.000000
301,0.000000,1680.000000
302,-40.000000,1720.000000
303,-40.000000,1720.000000
304,-40.000000,1720.000000
305,-40.000000,1680.000000
306,-40.000000,1720.000000
307,-40.000000,1720.000000
308,0.000000,1680.000000
309,-40.000000,1680.000000
310,-40.000000,1680.000000
311,0.000000,1720.000000
312,-40.000000,1720.000000
313,-40.000000,1680.000000
314,0.000000,1680.000000
315,-40.000000,1680.000000
316,0.000000,1680.000000
317,-40.000000,1680.000000
318,-40.000000,1680.000000
319,-40.000000,1720.000000
320,-40.000000,1680.000000
321,-40.000000,1680.000000
322,0.000000,1720.000000
323,0.000000,1720.000000
324,-40.000000,1720.000000
325,-40.000000,1680.000000
326,-40.000000,1720.000000
